family,target,trial,score,dt,params
lgb,gender,1,0.858516,28.38,"{""n_estimators"": 2400, ""learning_rate"": 0.016584530145973827, ""num_leaves"": 95, ""max_depth"": 4, ""min_child_samples"": 40, ""feature_fraction"": 0.6, ""bagging_fraction"": 0.8, ""bagging_freq"": 5, ""reg_alpha"": 0.10583516832190602, ""reg_lambda"": 0.03855978906568233, ""min_split_gain"": 0.00564802737530295, ""path_smooth"": 1.0, ""extra_trees"": true, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,2,0.874011,43.50,"{""n_estimators"": 1200, ""learning_rate"": 0.008659574770026086, ""num_leaves"": 95, ""max_depth"": 9, ""min_child_samples"": 2, ""feature_fraction"": 0.4, ""bagging_fraction"": 0.6, ""bagging_freq"": 3, ""reg_alpha"": 0.002380961328723463, ""reg_lambda"": 0.00021319823498092217, ""min_split_gain"": 0.0019376024901689684, ""path_smooth"": 0.0, ""extra_trees"": true, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,3,0.857053,18.57,"{""n_estimators"": 800, ""learning_rate"": 0.01490689091443592, ""num_leaves"": 23, ""max_depth"": 7, ""min_child_samples"": 2, ""feature_fraction"": 0.6, ""bagging_fraction"": 0.8, ""bagging_freq"": 7, ""reg_alpha"": 0.000580268215369892, ""reg_lambda"": 0.16913500978255222, ""min_split_gain"": 0.07756527658648488, ""path_smooth"": 0.0, ""extra_trees"": true, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,4,0.871175,32.16,"{""n_estimators"": 1600, ""learning_rate"": 0.014691292511307269, ""num_leaves"": 127, ""max_depth"": 16, ""min_child_samples"": 10, ""feature_fraction"": 0.7, ""bagging_fraction"": 0.5, ""bagging_freq"": 5, ""reg_alpha"": 0.18783541003180426, ""reg_lambda"": 0.037212651993892454, ""min_split_gain"": 0.0017356726360212079, ""path_smooth"": 0.0, ""extra_trees"": true, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,5,0.868418,48.22,"{""n_estimators"": 1600, ""learning_rate"": 0.02262795244417767, ""num_leaves"": 31, ""max_depth"": 16, ""min_child_samples"": 10, ""feature_fraction"": 0.4, ""bagging_fraction"": 0.6, ""bagging_freq"": 1, ""reg_alpha"": 3.254371575469966, ""reg_lambda"": 1.3615314620914531, ""min_split_gain"": 0.0005621558759659616, ""path_smooth"": 0.0, ""extra_trees"": false, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,6,0.866152,79.11,"{""n_estimators"": 2400, ""learning_rate"": 0.017482751352794115, ""num_leaves"": 15, ""max_depth"": 16, ""min_child_samples"": 10, ""feature_fraction"": 1.0, ""bagging_fraction"": 0.8, ""bagging_freq"": 1, ""reg_alpha"": 0.0013430685900900927, ""reg_lambda"": 1.2079494953339793, ""min_split_gain"": 0.0010217293798777927, ""path_smooth"": 0.0, ""extra_trees"": false, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,7,0.834023,14.23,"{""n_estimators"": 600, ""learning_rate"": 0.014765740559177443, ""num_leaves"": 15, ""max_depth"": -1, ""min_child_samples"": 200, ""feature_fraction"": 0.5, ""bagging_fraction"": 0.7, ""bagging_freq"": 10, ""reg_alpha"": 0.27729908393893943, ""reg_lambda"": 0.003650030453462201, ""min_split_gain"": 0.0025358040700696766, ""path_smooth"": 0.0, ""extra_trees"": true, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,8,0.866862,27.42,"{""n_estimators"": 2400, ""learning_rate"": 0.04177745111760925, ""num_leaves"": 23, ""max_depth"": 7, ""min_child_samples"": 10, ""feature_fraction"": 1.0, ""bagging_fraction"": 1.0, ""bagging_freq"": 5, ""reg_alpha"": 0.00013488999556659757, ""reg_lambda"": 2.7873768036642703, ""min_split_gain"": 0.020120885222832664, ""path_smooth"": 0.0, ""extra_trees"": true, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,9,0.792714,12.93,"{""n_estimators"": 1200, ""learning_rate"": 0.006864373571220395, ""num_leaves"": 31, ""max_depth"": -1, ""min_child_samples"": 200, ""feature_fraction"": 0.7, ""bagging_fraction"": 0.6, ""bagging_freq"": 5, ""reg_alpha"": 2.6694892652764612, ""reg_lambda"": 0.020204706702065246, ""min_split_gain"": 0.0018588897664236805, ""path_smooth"": 0.0, ""extra_trees"": true, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,10,0.850928,7.29,"{""n_estimators"": 2400, ""learning_rate"": 0.06266662341055904, ""num_leaves"": 63, ""max_depth"": 5, ""min_child_samples"": 200, ""feature_fraction"": 0.4, ""bagging_fraction"": 0.6, ""bagging_freq"": 7, ""reg_alpha"": 0.0009318160832522109, ""reg_lambda"": 1.047375967243803, ""min_split_gain"": 0.009529811749473914, ""path_smooth"": 0.0, ""extra_trees"": false, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
